0001,National Digital Library,,,,
0002,Chace Productions,,,,
0003,Iron Mountain Film and Sound Archives,,,,
0004,Library of Congress,,,,
0005,George Eastman House,,,,
0006,Museum of Modern Art,,,,
0007,Prelinger Archives,,,,
0008,University of South Carolina,,,,
0009,Anthology Film Archives,,,,
0010,UCLA Film and Television Archive,https://www.cinema.ucla.edu/,Y,Y,Y
0011,Library and Archives Canada,http://www.collectionscanada.gc.ca/,,,Y
0012,Bay Bottom News,http://baybottomnews.com/about-2/,,,Y
0013,University of Kent,,,,Y
0014,Documentary Film Center,http://www.netzwerk-mediatheken.de/html_en/partner/profile/hdf.html,,,Y
0015,Polzer Media Group GmbH,http://www.polzer.org/Books.html,,,Y
0016,Margaret Mead Film & Video Festival,http://www.amnh.org/explore/margaret-mead-film-festival,,,Y
0017,Flicker,http://www.hi-beam.net/cgi-bin/flicker.pl,,,Y
0018,A/V Geeks,http://www.avgeeks.com/,,Y,Y
0019,"University of California, Santa Cruz",http://www.ucsc.edu/,,,Y
0020,Netherlands Film Museum,https://www.eyefilm.nl/,,,Y
0021,Orgone Cinema and Archive,,,Y,Y
0022,Pitzer College,,,,Y
0023,"Colorlab, Inc.",http://www.colorlab.com/,,Y,Y
0024,,,,,
0025,,,,,
0026,,,,,
0027,,,,,
0028,,,,,
0029,,,,,
0030,,,,,
0031,,,,,
0032,,,,,
0033,,,,,
0034,,,,,
0035,,,,,
0036,,,,,
0037,,,,,
0038,,,,,
0039,,,,,
0040,,,,,
0041,,,,,
0042,,,,,
0043,,,,,
0044,,,,,
0045,,,,,
0046,,,,,
0047,,,,,
0048,,,,,
0049,,,,,
0050,,,,,
0051,,,,,
0052,,,,,
0053,,,,,
0054,,,,,
0055,,,,,
0056,,,,,
0057,,,,,
0058,,,,,
0059,,,,,
0060,,,,,
0061,,,,,
0062,,,,,
0063,,,,,
0064,,,,,
0065,,,,,
0066,,,,,
ID,Name,URL,Host?,Content Provider?,Presenter Affiliate?
